Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","0.47uF","C_0402_1005Metric",158.500000,-144.000000,0.000000,bottom
"C2","0.47uF","C_0402_1005Metric",350.000000,-126.000000,90.000000,bottom
"C3","0.1uF","C_0402_1005Metric",158.480000,-141.750000,180.000000,bottom
"C4","0.47uF","C_0402_1005Metric",158.480000,-140.750000,180.000000,bottom
"C5","0.1uF","C_0402_1005Metric",352.520000,-124.500000,0.000000,bottom
"C6","0.47uF","C_0402_1005Metric",352.520000,-125.500000,0.000000,bottom
"C7","0.47uF","C_0402_1005Metric",155.200000,-125.800000,90.000000,bottom
"C8","0.1uF","C_0402_1005Metric",156.250000,-125.800000,90.000000,bottom
"C9","0.47uF","C_0402_1005Metric",350.000000,-109.500000,180.000000,bottom
"C10","0.1uF","C_0402_1005Metric",350.000000,-110.500000,180.000000,bottom
"C11","22uF","CP_EIA-3528-21_Kemet-B",165.750000,-129.800000,90.000000,bottom
"C12","0.47uF","C_0402_1005Metric",163.500000,-135.250000,90.000000,bottom
"C13","0.1uF","C_0402_1005Metric",164.500000,-135.250000,90.000000,bottom
"C14","22uF","CP_EIA-3528-21_Kemet-B",358.698800,-121.970800,270.000000,bottom
"C15","0.47uF","C_0402_1005Metric",357.250000,-116.500000,180.000000,bottom
"C16","0.1uF","C_0402_1005Metric",357.250000,-115.500000,180.000000,bottom
"C17","0.1uF","C_0402_1005Metric",339.800000,-104.750000,0.000000,bottom
"C18","0.1uF","C_0402_1005Metric",339.800000,-105.750000,0.000000,bottom
"C19","0.1uF","C_0402_1005Metric",339.800000,-103.750000,0.000000,bottom
"C20","1uF","C_0402_1005Metric",338.500000,-93.500000,180.000000,bottom
"C21","0.1uF","C_0402_1005Metric",339.800000,-102.750000,0.000000,bottom
"C23","12pF","C_0402_1005Metric",397.730000,-98.750000,180.000000,bottom
"C24","0.1uF","C_0402_1005Metric",397.980000,-129.500000,180.000000,bottom
"C25","4.7uF","C_0402_1005Metric",339.770000,-101.750000,0.000000,bottom
"C26","12pF","C_0402_1005Metric",397.750000,-104.000000,0.000000,bottom
"C27","1uF","C_0402_1005Metric",341.750000,-103.520000,90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",388.500000,-111.020000,270.000000,bottom
"C29","0.1uF","C_0402_1005Metric",376.230000,-109.750000,180.000000,bottom
"C30","0.1uF","C_0402_1005Metric",376.230000,-108.750000,180.000000,bottom
"C31","0.1uF","C_0402_1005Metric",375.750000,-92.230000,90.000000,bottom
"C32","0.1uF","C_0402_1005Metric",376.750000,-92.250000,90.000000,bottom
"C33","1uF","C_0402_1005Metric",345.520000,-106.750000,180.000000,bottom
"C34","0.1uF","C_0402_1005Metric",391.000000,-90.500000,90.000000,bottom
"C35","10uF","C_0402_1005Metric",390.500000,-111.020000,270.000000,bottom
"C36","4.7uF","C_0402_1005Metric",379.500000,-110.500000,270.000000,bottom
"C37","4.7uF","C_0402_1005Metric",374.480000,-95.500000,180.000000,bottom
"C38","0.1uF","C_0402_1005Metric",394.770000,-97.000000,0.000000,bottom
"C39","0.1uF","C_0402_1005Metric",394.750000,-98.250000,0.000000,bottom
"C40","0.1uF","C_0402_1005Metric",394.750000,-99.250000,0.000000,bottom
"C41","0.1uF","C_0402_1005Metric",394.750000,-103.250000,0.000000,bottom
"C42","0.1uF","C_0402_1005Metric",394.750000,-104.250000,0.000000,bottom
"C43","0.1uF","C_0402_1005Metric",389.500000,-111.020000,270.000000,bottom
"C44","0.1uF","C_0402_1005Metric",390.000000,-90.480000,90.000000,bottom
"D_0","D","D_SOD-123",63.293750,-29.075000,90.000000,bottom
"D_1","D","D_SOD-123",101.393750,-29.075000,90.000000,bottom
"D_2","D","D_SOD-123",120.443750,-29.075000,90.000000,bottom
"D_3","D","D_SOD-123",139.493750,-29.075000,90.000000,bottom
"D_4","D","D_SOD-123",158.543750,-29.075000,90.000000,bottom
"D_5","D","D_SOD-123",187.118750,-29.075000,90.000000,bottom
"D_6","D","D_SOD-123",206.168750,-29.075000,90.000000,bottom
"D_7","D","D_SOD-123",225.218750,-29.075000,90.000000,bottom
"D_8","D","D_SOD-123",244.268750,-29.075000,90.000000,bottom
"D_9","D","D_SOD-123",272.843750,-29.075000,90.000000,bottom
"D_10","D","D_SOD-123",291.893750,-29.075000,90.000000,bottom
"D_11","D","D_SOD-123",310.943750,-29.075000,90.000000,bottom
"D_12","D","D_SOD-123",329.993750,-29.075000,90.000000,bottom
"D_13","D","D_SOD-123",353.806250,-29.075000,90.000000,bottom
"D_14","D","D_SOD-123",372.856250,-29.075000,90.000000,bottom
"D_15","D","D_SOD-123",391.906250,-29.075000,90.000000,bottom
"D_16","D","D_SOD-123",415.718750,-29.075000,90.000000,bottom
"D_17","D","D_SOD-123",434.768750,-29.075000,90.000000,bottom
"D_18","D","D_SOD-123",453.818750,-29.075000,90.000000,bottom
"D_19","D","D_SOD-123",39.481250,-57.650000,90.000000,bottom
"D_20","D","D_SOD-123",63.293750,-57.650000,90.000000,bottom
"D_21","D","D_SOD-123",82.343750,-57.650000,90.000000,bottom
"D_22","D","D_SOD-123",101.393750,-57.650000,90.000000,bottom
"D_23","D","D_SOD-123",120.443750,-57.650000,90.000000,bottom
"D_24","D","D_SOD-123",139.493750,-57.650000,90.000000,bottom
"D_25","D","D_SOD-123",158.543750,-57.650000,90.000000,bottom
"D_26","D","D_SOD-123",177.593750,-57.650000,90.000000,bottom
"D_27","D","D_SOD-123",196.643750,-57.650000,90.000000,bottom
"D_28","D","D_SOD-123",215.693750,-57.650000,90.000000,bottom
"D_29","D","D_SOD-123",234.743750,-57.650000,90.000000,bottom
"D_30","D","D_SOD-123",253.793750,-57.650000,90.000000,bottom
"D_31","D","D_SOD-123",272.843750,-57.650000,90.000000,bottom
"D_32","D","D_SOD-123",291.893750,-57.650000,90.000000,bottom
"D_33","D","D_SOD-123",329.993750,-57.650000,90.000000,bottom
"D_34","D","D_SOD-123",353.806250,-57.650000,90.000000,bottom
"D_35","D","D_SOD-123",372.856250,-57.650000,90.000000,bottom
"D_36","D","D_SOD-123",391.906250,-57.650000,90.000000,bottom
"D_37","D","D_SOD-123",415.718750,-57.650000,90.000000,bottom
"D_38","D","D_SOD-123",434.768750,-57.650000,90.000000,bottom
"D_39","D","D_SOD-123",453.818750,-57.650000,90.000000,bottom
"D_40","D","D_SOD-123",472.868750,-57.650000,90.000000,bottom
"D_41","D","D_SOD-123",39.481250,-76.700000,90.000000,bottom
"D_42","D","D_SOD-123",72.818750,-76.700000,90.000000,bottom
"D_43","D","D_SOD-123",91.868750,-76.700000,90.000000,bottom
"D_44","D","D_SOD-123",110.918750,-76.700000,90.000000,bottom
"D_45","D","D_SOD-123",129.968750,-76.700000,90.000000,bottom
"D_46","D","D_SOD-123",149.018750,-76.700000,90.000000,bottom
"D_47","D","D_SOD-123",168.068750,-76.700000,90.000000,bottom
"D_48","D","D_SOD-123",187.118750,-76.700000,90.000000,bottom
"D_49","D","D_SOD-123",206.168750,-76.700000,90.000000,bottom
"D_50","D","D_SOD-123",225.218750,-76.700000,90.000000,bottom
"D_51","D","D_SOD-123",244.268750,-76.700000,90.000000,bottom
"D_52","D","D_SOD-123",263.318750,-76.700000,90.000000,bottom
"D_53","D","D_SOD-123",282.368750,-76.700000,90.000000,bottom
"D_54","D","D_SOD-123",301.418750,-76.700000,90.000000,bottom
"D_55","D","D_SOD-123",329.993750,-86.225000,90.000000,bottom
"D_56","D","D_SOD-123",353.806250,-76.700000,90.000000,bottom
"D_57","D","D_SOD-123",372.856250,-76.700000,90.000000,bottom
"D_58","D","D_SOD-123",391.906250,-76.700000,90.000000,bottom
"D_59","D","D_SOD-123",415.718750,-76.700000,90.000000,bottom
"D_60","D","D_SOD-123",434.768750,-76.700000,90.000000,bottom
"D_61","D","D_SOD-123",453.818750,-76.700000,90.000000,bottom
"D_62","D","D_SOD-123",463.843750,-94.250000,0.000000,bottom
"D_63","D","D_SOD-123",39.481250,-95.750000,90.000000,bottom
"D_64","D","D_SOD-123",77.581250,-95.750000,90.000000,bottom
"D_65","D","D_SOD-123",96.631250,-95.750000,90.000000,bottom
"D_66","D","D_SOD-123",115.681250,-95.750000,90.000000,bottom
"D_67","D","D_SOD-123",134.731250,-95.750000,90.000000,bottom
"D_68","D","D_SOD-123",153.781250,-95.750000,90.000000,bottom
"D_69","D","D_SOD-123",172.831250,-95.750000,90.000000,bottom
"D_70","D","D_SOD-123",191.881250,-95.750000,90.000000,bottom
"D_71","D","D_SOD-123",210.931250,-95.750000,90.000000,bottom
"D_72","D","D_SOD-123",229.981250,-95.750000,90.000000,bottom
"D_73","D","D_SOD-123",249.031250,-95.750000,90.000000,bottom
"D_74","D","D_SOD-123",268.081250,-95.750000,90.000000,bottom
"D_75","D","D_SOD-123",287.131250,-95.750000,90.000000,bottom
"D_76","D","D_SOD-123",306.181250,-95.750000,90.000000,bottom
"D_77","D","D_SOD-123",415.718750,-95.750000,90.000000,bottom
"D_78","D","D_SOD-123",434.768750,-95.750000,90.000000,bottom
"D_79","D","D_SOD-123",453.818750,-95.750000,90.000000,bottom
"D_80","D","D_SOD-123",39.481250,-114.800000,90.000000,bottom
"D_81","D","D_SOD-123",68.056250,-114.800000,90.000000,bottom
"D_82","D","D_SOD-123",87.106250,-114.800000,90.000000,bottom
"D_83","D","D_SOD-123",106.156250,-114.800000,90.000000,bottom
"D_84","D","D_SOD-123",125.206250,-114.800000,90.000000,bottom
"D_85","D","D_SOD-123",144.256250,-114.800000,90.000000,bottom
"D_86","D","D_SOD-123",163.306250,-114.800000,90.000000,bottom
"D_87","D","D_SOD-123",182.356250,-114.800000,90.000000,bottom
"D_88","D","D_SOD-123",201.406250,-114.800000,90.000000,bottom
"D_89","D","D_SOD-123",220.456250,-114.800000,90.000000,bottom
"D_90","D","D_SOD-123",239.506250,-114.800000,90.000000,bottom
"D_91","D","D_SOD-123",258.556250,-114.800000,90.000000,bottom
"D_92","D","D_SOD-123",277.606250,-114.800000,90.000000,bottom
"D_93","D","D_SOD-123",313.250000,-113.850000,90.000000,bottom
"D_94","D","D_SOD-123",372.856250,-114.800000,90.000000,bottom
"D_95","D","D_SOD-123",415.718750,-114.800000,90.000000,bottom
"D_96","D","D_SOD-123",434.768750,-114.800000,90.000000,bottom
"D_97","D","D_SOD-123",453.818750,-114.800000,90.000000,bottom
"D_98","D","D_SOD-123",463.843750,-132.350000,0.000000,bottom
"D_99","D","D_SOD-123",39.481250,-133.850000,90.000000,bottom
"D_100","D","D_SOD-123",68.056250,-133.850000,90.000000,bottom
"D_101","D","D_SOD-123",91.868750,-133.850000,90.000000,bottom
